0,1,2,3,4,5,6,7,8,9,11,22
1,I,E,A,D,H,B,E,I,F,I,C
2,B,A,C,A,D,B,H,B,I,B,"A
"
3,A,"D
",C,E,B,E,E,C,"E
",D,C
4,D,A,E,A,I,F,C,A,B,D,B
5,G,D,B,H,A,C,E,D,F,G,I
6,C,B,A,D,C,B,I,E,D,B,C
7,D,G,C,B,D,I,A,B,A,D,C
8,I,A,C,B,D,E,C,F,B,C,B
9,C,B,E,A,G,D,B,C,B,A,B
11,I,B,D,C,H,A,H,C,I,B,H
22,C,A,D,A,I,C,B,B,A,H,A
,,,,,,,,,,,
